system:index,NDVI,.geo
83,0.01423728813559322,"{""type"":""Point"",""coordinates"":[72.95290241351256,18.95189038322437]}"
84,0.20904853927475275,"{""type"":""Point"",""coordinates"":[72.85569765901414,19.183338028443817]}"
85,0.3607253529209228,"{""type"":""Point"",""coordinates"":[72.92985929051156,18.95895225955016]}"
86,0.30051201260338717,"{""type"":""Point"",""coordinates"":[73.01937653053434,19.182181085893035]}"
87,-0.08549222797927461,"{""type"":""Point"",""coordinates"":[72.94429432057474,18.99858296932523]}"
88,-0.10288777451149922,"{""type"":""Point"",""coordinates"":[72.7542761091095,19.007576736090385]}"
89,-0.107978105821861,"{""type"":""Point"",""coordinates"":[72.78795278149195,19.068878157436426]}"
90,0.2189025116057612,"{""type"":""Point"",""coordinates"":[73.01777128129348,19.06110688058044]}"
91,-0.08989547038327526,"{""type"":""Point"",""coordinates"":[72.7672433235906,19.008499451237526]}"
92,-0.13089005235602091,"{""type"":""Point"",""coordinates"":[72.85296145412914,18.907621930600826]}"
93,0.14057169744735915,"{""type"":""Point"",""coordinates"":[72.88223422279636,19.100656774352966]}"
94,0.40799316093182303,"{""type"":""Point"",""coordinates"":[72.82698090130621,19.18014075972277]}"
95,0.41206785484217306,"{""type"":""Point"",""coordinates"":[72.88266444558583,19.143909699576774]}"
96,0.25042525042525043,"{""type"":""Point"",""coordinates"":[73.06888200566152,19.046983145613662]}"
97,0.3326072751034633,"{""type"":""Point"",""coordinates"":[72.88759545105918,19.191138025256198]}"
98,0.15595279019136016,"{""type"":""Point"",""coordinates"":[73.05456618402665,19.145954663520957]}"
99,0.22898916587777426,"{""type"":""Point"",""coordinates"":[73.03530354369096,19.053523105388532]}"
100,0.02057335581787521,"{""type"":""Point"",""coordinates"":[72.82862216988762,19.172434896737045]}"
101,0.307928164695576,"{""type"":""Point"",""coordinates"":[72.91855417148314,19.028273045060153]}"
102,0.3468342644320298,"{""type"":""Point"",""coordinates"":[72.80910267478886,19.145625160601536]}"
103,0.3041152263374486,"{""type"":""Point"",""coordinates"":[72.85972324218018,18.980642586495254]}"
104,-0.10751012776565909,"{""type"":""Point"",""coordinates"":[72.97128696197711,18.974736335970274]}"
105,0.3822377910570781,"{""type"":""Point"",""coordinates"":[72.82571070856488,18.99050571313351]}"
106,-0.14612268518518517,"{""type"":""Point"",""coordinates"":[72.90261766504533,18.95210183474138]}"
107,0.40671971706454463,"{""type"":""Point"",""coordinates"":[72.89816129068922,19.199529254422426]}"
108,-0.10668065757257783,"{""type"":""Point"",""coordinates"":[72.80558875056947,19.132306533107503]}"
109,-0.10521008403361344,"{""type"":""Point"",""coordinates"":[72.79115671661272,19.014011811031544]}"
110,0.3263990014562097,"{""type"":""Point"",""coordinates"":[73.0384452402532,19.077483504531287]}"
111,0.07330626202179953,"{""type"":""Point"",""coordinates"":[73.01899079914229,19.095035869417707]}"
112,-0.1186499652052888,"{""type"":""Point"",""coordinates"":[72.81050395248602,19.128470236284336]}"
113,0.3398366606170599,"{""type"":""Point"",""coordinates"":[72.96448845702636,19.136736390782076]}"
114,0.3947283485745024,"{""type"":""Point"",""coordinates"":[72.94534151298802,19.097695735581393]}"
115,-0.09976166155941436,"{""type"":""Point"",""coordinates"":[72.77685000789707,19.060829525202195]}"
116,-0.10580747812251393,"{""type"":""Point"",""coordinates"":[72.98945854867209,19.036942589706253]}"
117,-0.11635027556644213,"{""type"":""Point"",""coordinates"":[72.89086070880924,18.97657944921376]}"
118,0.3644578313253012,"{""type"":""Point"",""coordinates"":[72.99093463215114,19.074249338158957]}"
119,0.4070509672984386,"{""type"":""Point"",""coordinates"":[72.9290094114058,19.182618406761]}"
120,0.26608531699269383,"{""type"":""Point"",""coordinates"":[72.91780381859691,19.032783304850472]}"
121,0.09805389221556886,"{""type"":""Point"",""coordinates"":[73.01464492171554,19.007169443640286]}"
122,0.2522267206477733,"{""type"":""Point"",""coordinates"":[72.82495868483127,19.05827100430904]}"
123,0.4091894234937148,"{""type"":""Point"",""coordinates"":[72.93742803608413,19.065445430559894]}"
124,0.16263632053105737,"{""type"":""Point"",""coordinates"":[72.86686052545966,19.029692170274085]}"
125,0.22580645161290322,"{""type"":""Point"",""coordinates"":[72.98814615855152,19.180587930547947]}"
126,0.21522894872234608,"{""type"":""Point"",""coordinates"":[72.88826770071832,19.172148345198853]}"
127,0.05584415584415584,"{""type"":""Point"",""coordinates"":[72.91205350943716,19.07631396403325]}"
128,-0.12830129707766838,"{""type"":""Point"",""coordinates"":[72.85281780628941,18.938186128547454]}"
129,-0.12213267203967762,"{""type"":""Point"",""coordinates"":[72.98614089414964,19.0099688504637]}"
130,0.04895979978101048,"{""type"":""Point"",""coordinates"":[72.88760230329608,19.088900180747192]}"
131,0.09240434037692748,"{""type"":""Point"",""coordinates"":[72.84608271053905,19.18277690222499]}"
132,-0.06244343891402715,"{""type"":""Point"",""coordinates"":[72.99121333475338,18.972817067023044]}"
133,0.10310192023633678,"{""type"":""Point"",""coordinates"":[73.0000057532299,19.063746861986395]}"
